posicao_ebt;nota;uf;nome_uf;municipio;populacao;total_pontos;nota_1
1;10;SC;Santa Catarina;Apiúna;10211;3600;10
1;10;SP;São Paulo;São Paulo;11895893;3600;10
3;9.58;PB;Paraíba;Nazarezinho;7330;3450;9.58
4;9.44;SC;Santa Catarina;Correia Pinto;14063;3400;9.44
4;9.44;SC;Santa Catarina;Frei Rogério;2301;3400;9.44
6;9.31;PR;Paraná;Curitiba;1864416;3350;9.31
7;9.17;SC;Santa Catarina;Imbuia;5993;3300;9.17
8;8.89;DF;Distrito Federal;Brasília;2852372;3200;8.89
9;8.75;PE;Pernambuco;Recife;1608488;3150;8.75
10;8.61;CE;Ceará;Fortaleza;2571896;3100;8.61
11;8.47;PB;Paraíba;São José do Sabugi;4114;3050;8.47
11;8.47;PB;Paraíba;João Pessoa;780738;3050;8.47
11;8.47;SC;Santa Catarina;Florianópolis;461524;3050;8.47
14;8.33;PB;Paraíba;Taperoá;15284;3000;8.33
15;8.19;SC;Santa Catarina;Monte Carlo;9650;2950;8.19
15;8.19;SC;Santa Catarina;Bombinhas;16897;2950;8.19
15;8.19;RS;Rio Grande do Sul;São Paulo das Missões;6385;2950;8.19
18;7.92;RS;Rio Grande do Sul;Porto Alegre;1472482;2850;7.92
18;7.92;MG;Minas Gerais;Belo Horizonte;2491109;2850;7.92
20;7.78;GO;Goiás;Goiânia;1412364;2800;7.78
20;7.78;AC;Acre;Rio Branco;363928;2800;7.78
22;7.64;PE;Pernambuco;Sairé;10633;2750;7.64
22;7.64;RN;Rio Grande do Norte;Natal;862044;2750;7.64
22;7.64;RS;Rio Grande do Sul;Camargo;2710;2750;7.64
25;7.36;RS;Rio Grande do Sul;Imigrante;3141;2650;7.36
25;7.36;RS;Rio Grande do Sul;Muitos Capões;3127;2650;7.36
25;7.36;RS;Rio Grande do Sul;Tio Hugo;2893;2650;7.36
28;6.94;SC;Santa Catarina;Vargeão;3590;2500;6.94
29;6.81;MS;Mato Grosso do Sul;Campo Grande;843120;2450;6.81
30;6.67;BA;Bahia;Salvador;2902927;2400;6.67
31;6.25;RS;Rio Grande do Sul;São Sepé;24448;2250;6.25
32;6.11;RS;Rio Grande do Sul;Pejuçara;4062;2200;6.11
32;6.11;RS;Rio Grande do Sul;Forquetinha;2532;2200;6.11
32;6.11;SP;São Paulo;Alto Alegre;4183;2200;6.11
32;6.11;MS;Mato Grosso do Sul;Terenos;19434;2200;6.11
36;5.56;SP;São Paulo;Ribeirão Bonito;12831;2000;5.56
36;5.56;RS;Rio Grande do Sul;Picada Café;5498;2000;5.56
